59,ACM Symposium on Applied Computing,SAC,CORE2018,B,No,0804,,
60,ACM Symposium on Computational Geometry,SCG,CORE2018,A,No,0802,,
2003,ACM Symposium on Document Engineering,DocEng,CORE2018,B,Yes,0806,,
61,"ACM Symposium on Information, Computer and Communications Security",AsiaCCS,CORE2018,B,No,0803,,
62,ACM Symposium on Principles of Database Systems,SPDS,CORE2018,C,No,0804,,
63,ACM Symposium on Principles of Distributed Computing,PODC,CORE2018,A*,Yes,0805,,
2137,ACM Symposium on Software Reusability ,SSR,CORE2018,A,No,0803,,
64,ACM Symposium on Solid and Physical Modelling,SPM,CORE2018,B,No,0802,,
65,ACM Symposium on Theory of Computing,STOC,CORE2018,A*,Yes,0802,,
66,ACM Symposium on User Interface Software and Technology,UIST,CORE2018,A,No,0806,,
67,ACM Virtual Reality Software and Technology,VRST,CORE2018,A,No,0801,,
68,ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,CORE2018,C,No,0803,,
69,ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2018,A,No,1005,,
70,ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,CORE2018,C,No,0803,,
72,ACM Workshop on Scalable Trusted Computing,STC,CORE2018,B,No,0803,,
73,ACM Workshop on Secure Web Services,SWS,CORE2018,C,No,0801,,
74,ACM Workshop on Web Information and Data Management,WIDM,CORE2018,B,Yes,0806,,
82,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2018,A*,Yes,0803,,
83,ACM-SIGMIS CPR Conference,ACM-SIGMIS CPR,CORE2018,B,No,0806,,
84,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2018,A*,Yes,0803,,
85,ACM-SIGRAPH Interactive 3D Graphics,I3DG,CORE2018,B,Yes,0801,,
75,ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,CORE2018,B,No,0803,,
76,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,CORE2018,A,No,1006,,
77,ACM/IEEE Supercomputing Conference,SC,CORE2018,A,No,0805,,
78,ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation,PADS,CORE2018,B,Yes,0805,,
79,ACM/IFIP/USENIX International Middleware Conference,Middleware,CORE2018,A,No,0803,,
80,ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2018,A*,Yes,0802,,
81,ACM/SPIE Multimedia Computing and Networking,MMCN,CORE2018,A,No,0801,,
86,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2018,C,No,08,12,
87,Active and Real-Time Database Systems,ARTDB,CORE2018,C,No,0804,,
89,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2018,B,No,0801,,
90,Advanced Course on Artificial Intelligence,ACAI,CORE2018,C,No,0801,,
91,Advanced Research in VLSI,ARVLSI,CORE2018,C,No,0805,,
93,Advanced Visual Interfaces,AVI,CORE2018,B,No,0801,,
94,Advances in Cryptology,CRYPTO,CORE2018,A*,Yes,0804,,
95,Advances in Information Systems,ADVIS,CORE2018,C,No,0806,,
96,Advances in Intelligent Systems,AIS,CORE2018,C,No,0801,,
97,Advances in Modal Logic,AiML,CORE2018,A,No,0802,,
98,Advances in Neural Information Processing Systems,NIPS,CORE2018,A*,Yes,0801,,
99,Advances in the Theory of Computing,AITC,CORE2018,C,No,0802,,
105,Algebraic Methodology and Software Technology,AMAST,CORE2018,C,No,0802,0803,
106,Algorithmic Learning Theory,ALT,CORE2018,B,Yes,0802,,
107,Algorithms and Complexity in Durham,ACID,CORE2018,C,Yes,0802,,
108,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2018,B,Yes,0802,,
1964,Algorithms and Experiments,ALEX,CORE2018,B,No,,,
110,Ambient Intelligence Developments,Aml.d,CORE2018,C,No,0801,,
112,American Federation of Information Processing Societies,AFIPS,CORE2018,A,No,0801,0806,0802
1968,American Medical Informatics Annual Fall Symposium,AMIA,CORE2018,A,No,0806,,
115,Americas Conference on Information Systems,AMCIS,CORE2018,A,Yes,0806,,
117,Annual Computer Security Applications Conference,ACSAC,CORE2018,A,No,0803,,
118,Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,CORE2018,Australasian,Yes,0899,,
120,Annual Conference of the Cognitive Science Society,CogSci,CORE2018,A,No,0801,,
122,Annual Conference of the International Academy for Information Management,IAIM,CORE2018,C,No,0806,,
124,Annual Conference on Computational Learning Theory,COLT,CORE2018,A*,Yes,0801,,
1995,Annual Conference on Computer Science Logic,CSL,CORE2018,B,No,0802,,
125,Annual Conference on Evolutionary Programming,EP,CORE2018,C,No,0801,,
126,Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,CORE2018,A,No,0899,,
127,"Annual Conference on Privacy, Security and Trust",PST,CORE2018,C,No,0804,,
128,"Annual Convention for Survey, Mapping and Remote Sensing",RS,CORE2018,C,No,0909,,
129,Annual Fall Workshop on Computational Geometry,CGW,CORE2018,C,No,0802,,
131,Annual International Conference on Ada,TRI-Ada,CORE2018,C,No,0803,,
132,Annual International Workshop on Presence,PRESENCE,CORE2018,B,No,0801,,
133,Annual Meeting of the Decision Sciences Institute,DSI,CORE2018,C,No,0806,,
134,Annual PKI R&D Workshop,PKI,CORE2018,C,No,0803,,
135,Annual PPIG Workshop,PPIG,CORE2018,B,No,0806,,
136,Annual Simulation Symposium,ANSS,CORE2018,B,No,0802,,
139,AoM Organizational Communication and Information Systems,OCIS,CORE2018,A,No,0806,,
140,Apple University Consortium Academic and Developers Conference,AUCADC,CORE2018,C,Yes,0899,,
141,Application of Computers and Operations Research in the Minerals Industries,APCOMin,CORE2018,A,Yes,0909,0914,
142,Application of Concurrency to System Design,ACSD,CORE2018,B,No,0805,,
143,Applications of Information Visualization,IV-App,CORE2018,C,No,0801,,
144,Applications of Natural Language to Data Bases,NLDB,CORE2018,C,No,0806,,
145,Applied Computing Conference,ACC,CORE2018,C,No,08,,
146,Applied Perception in Graphics and Visualization,APGV,CORE2018,C,No,0801,,
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2018,A*,Yes,0803,,
1958,Artificial Intelligence and Applications Conference,AIA,CORE2018,C,No,,,
2186,Artificial Intelligence Applications and Innovations,AIAI,CORE2018,Regional,No,0801,,
149,Artificial Intelligence in Knowledge Management,AIKM,CORE2018,C,No,0801,,
150,Artificial Intelligence in Medicine,AIIM,CORE2018,A,No,0801,,
151,Artificial Intelligence in Medicine in Europe,AIME,CORE2018,B,No,0801,,
152,Artificial Neural Networks in Engineering Conference,ANNIE,CORE2018,B,No,0801,,
156,Asia Information Retrieval Symposium,AIRS,CORE2018,C,No,0806,0807,
157,Asia International Conference on Modelling and Simulation,AMS,CORE2018,C,No,0802,,
159,Asia Pacific Conference on Communications,APCC,CORE2018,B,No,1005,,
160,Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages),APCHDL,CORE2018,C,Yes,1006,,
161,Asia Pacific Decision Science Institute Conference,APDSI,CORE2018,C,Yes,0802,,
162,Asia Pacific Design Automation Conference,ASDAC,CORE2018,C,Yes,1006,,
164,Asia Pacific Research Symposium on Accounting Information Systems,APRSAIS,CORE2018,C,No,0806,,
240,Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,CORE2018,Australasian,Yes,0801,,
165,Asia Pacific Web Conference,APWEB,CORE2018,B,Yes,0805,,
175,Asia-Pacific Bioinformatics Conference,APBC,CORE2018,B,No,0803,,
176,Asia-Pacific Computer Human Interaction Conference,APCHI,CORE2018,C,Yes,1203,,
177,Asia-Pacific Conference on Complex Systems,Complex,CORE2018,C,No,0801,,
178,Asia-Pacific Conference on Conceptual Modelling,APCCM,CORE2018,B,No,0802,,
